wolfCount,wolfEnergy,wolfRepro,wolfFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue
607,461.7,1018.2,7.5,239,764.4,924.9,6.2,4463,467.6,131.4,6.1
617,473.5,1018.2,7.5,228,770.0,924.5,6.2,4482,466.7,131.5,6.1
635,464.0,1018.2,7.5,242,738.8,924.5,6.2,4461,471.0,131.6,6.1
646,473.2,1018.1,7.5,231,735.4,924.5,6.3,4449,473.8,131.6,6.1
666,464.9,1018.1,7.5,236,734.7,924.5,6.2,4448,476.1,131.6,6.2
680,468.4,1018.1,7.6,229,747.0,924.3,6.2,4442,478.5,131.7,6.2
694,472.7,1018.1,7.6,218,740.9,924.3,6.2,4449,479.9,131.8,6.2
709,468.0,1018.1,7.6,215,759.1,924.4,6.2,4463,480.0,131.8,6.2
716,476.2,1018.0,7.6,203,768.9,924.4,6.2,4459,483.7,131.9,6.2
729,469.4,1018.0,7.6,203,766.2,924.5,6.2,4464,485.7,131.9,6.2
739,469.9,1018.0,7.6,203,748.6,924.4,6.2,4514,484.9,131.9,6.2
746,470.0,1018.0,7.6,203,746.6,924.7,6.2,4529,488.2,131.9,6.2
759,463.9,1018.0,7.6,205,735.3,924.6,6.2,4550,490.5,131.9,6.2
764,464.7,1018.0,7.7,211,728.3,924.8,6.2,4604,489.0,131.8,6.2
773,463.2,1018.0,7.7,212,735.9,925.1,6.2,4631,488.5,131.8,6.2
781,466.6,1018.0,7.7,208,736.7,925.1,6.3,4640,491.0,131.8,6.2
794,461.4,1018.0,7.6,198,756.2,925.3,6.3,4688,490.4,131.7,6.2
802,464.2,1018.0,7.7,187,744.0,925.2,6.4,4720,491.9,131.6,6.2
809,463.3,1018.0,7.6,183,757.6,925.3,6.4,4757,491.6,131.5,6.2
821,456.8,1018.0,7.7,193,745.4,925.2,6.4,4798,491.8,131.5,6.2
824,465.0,1018.0,7.6,185,735.0,924.9,6.3,4816,493.3,131.3,6.3
836,455.9,1018.0,7.6,187,745.9,924.7,6.3,4848,494.6,131.2,6.3
841,456.0,1017.9,7.6,187,757.8,924.7,6.3,4893,494.6,131.2,6.3
847,458.2,1017.9,7.6,188,740.1,924.5,6.2,4939,494.1,131.0,6.3
850,461.5,1017.9,7.6,186,737.6,924.5,6.2,4974,495.9,130.9,6.3
857,456.5,1017.9,7.6,188,747.0,924.4,6.1,5009,498.1,130.8,6.3
858,457.5,1017.9,7.6,191,748.1,924.4,6.2,5045,500.2,130.7,6.3
863,456.0,1017.9,7.6,197,734.9,924.3,6.1,5081,502.9,130.6,6.3
871,451.1,1017.9,7.6,204,733.9,924.3,6.1,5103,506.2,130.5,6.3
880,452.0,1017.9,7.6,201,714.0,924.3,6.2,5123,509.9,130.4,6.3
883,455.2,1017.9,7.6,199,716.6,924.2,6.1,5149,512.9,130.3,6.3
891,450.1,1017.8,7.6,209,710.9,924.3,6.1,5174,516.0,130.2,6.3
896,450.4,1017.8,7.6,208,729.7,924.3,6.1,5173,520.1,130.1,6.3
904,449.0,1017.8,7.6,216,700.3,924.4,6.1,5210,523.1,130.0,6.3
921,440.6,1017.8,7.6,214,718.3,924.4,6.0,5208,528.0,130.0,6.3
927,445.1,1017.8,7.6,202,707.8,924.7,6.0,5225,532.7,129.9,6.2
932,445.8,1017.8,7.5,192,699.6,924.9,6.1,5267,536.3,129.9,6.3
940,445.7,1017.8,7.5,186,687.4,925.0,6.1,5299,540.4,129.9,6.3
946,446.8,1017.8,7.5,172,676.7,925.0,6.1,5333,544.9,129.9,6.3
953,444.9,1017.7,7.5,162,671.7,925.0,6.1,5362,550.1,129.9,6.3
961,444.6,1017.7,7.5,145,649.8,925.1,6.2,5427,552.8,129.9,6.3
967,442.8,1017.7,7.5,125,659.1,925.0,6.2,5480,556.4,129.9,6.3
974,443.8,1017.7,7.5,104,637.8,924.7,6.2,5547,559.2,130.0,6.3
980,442.0,1017.7,7.5,84,647.9,924.3,6.1,5620,561.5,130.0,6.3
977,443.8,1017.7,7.5,73,635.3,924.3,6.1,5686,564.7,130.0,6.4
979,442.4,1017.7,7.5,59,626.0,924.5,6.1,5752,568.1,130.1,6.4
982,440.4,1017.7,7.5,50,607.5,924.6,6.1,5824,570.9,130.1,6.4
981,438.0,1017.7,7.5,47,598.2,924.2,6.0,5897,573.6,130.1,6.4
978,435.1,1017.7,7.5,46,624.0,924.1,5.9,5963,576.9,130.2,6.4
971,435.8,1017.7,7.5,46,608.2,924.0,6.0,6042,579.4,130.2,6.4
970,433.0,1017.7,7.5,45,643.1,924.0,5.9,6109,582.6,130.3,6.4
965,433.8,1017.7,7.5,41,685.4,923.7,5.9,6181,585.2,130.3,6.4
962,432.3,1017.7,7.5,43,669.7,923.5,5.9,6276,585.8,130.3,6.4
960,430.6,1017.7,7.5,40,694.2,923.5,5.8,6338,589.6,130.4,6.4
956,430.6,1017.7,7.5,42,660.6,923.7,5.8,6426,590.8,130.4,6.5
953,428.9,1017.7,7.5,42,684.3,923.8,5.8,6506,593.1,130.4,6.5
944,430.5,1017.7,7.5,42,679.3,923.4,5.8,6578,596.2,130.5,6.5
941,429.1,1017.7,7.5,44,693.5,923.5,5.8,6659,598.3,130.5,6.5
938,427.4,1017.6,7.5,48,668.6,923.4,5.8,6752,599.8,130.5,6.5
936,427.9,1017.6,7.5,47,647.3,923.3,5.8,6822,603.0,130.5,6.5
936,425.0,1017.6,7.5,47,691.5,923.2,5.8,6903,605.0,130.5,6.5
935,422.1,1017.6,7.5,52,684.9,923.3,5.8,6985,607.4,130.5,6.5
933,421.2,1017.6,7.4,52,700.8,923.3,5.8,7068,609.7,130.5,6.5
930,421.1,1017.6,7.4,58,666.6,923.5,5.8,7140,613.0,130.5,6.5
927,418.7,1017.6,7.4,65,662.8,923.6,5.8,7210,616.7,130.5,6.6
921,421.1,1017.6,7.4,64,677.1,923.5,5.8,7291,619.3,130.5,6.6
920,421.0,1017.6,7.4,65,661.9,923.6,5.8,7355,623.5,130.5,6.6
918,419.2,1017.6,7.4,67,672.4,923.7,5.7,7419,627.7,130.5,6.6
912,420.5,1017.6,7.4,70,657.9,923.6,5.7,7508,630.1,130.5,6.6
914,419.0,1017.6,7.4,63,681.1,923.7,5.7,7562,635.2,130.5,6.6
910,420.4,1017.6,7.4,60,658.7,923.8,5.6,7662,637.1,130.5,6.6
907,421.3,1017.6,7.4,53,658.8,924.0,5.6,7741,640.6,130.5,6.6
906,419.3,1017.5,7.4,49,649.0,924.1,5.6,7850,642.1,130.6,6.6
903,421.7,1017.5,7.4,35,653.2,924.0,5.7,7954,643.9,130.6,6.6
899,421.7,1017.5,7.4,31,652.8,924.1,5.6,8045,646.8,130.6,6.7
894,422.3,1017.5,7.4,29,621.3,924.0,5.7,8144,649.2,130.6,6.7
896,419.1,1017.5,7.4,25,624.8,924.2,5.7,8270,649.6,130.7,6.7
894,419.8,1017.5,7.4,20,559.3,924.2,5.8,8363,652.6,130.7,6.7
892,418.7,1017.5,7.4,16,530.7,924.6,5.9,8452,656.0,130.7,6.7
892,417.0,1017.5,7.4,12,463.0,925.3,5.9,8561,657.9,130.7,6.7
885,418.6,1017.5,7.4,9,400.1,925.9,6.0,8656,661.0,130.8,6.7
879,418.7,1017.5,7.4,9,394.1,925.9,6.0,8751,664.1,130.8,6.7
872,419.5,1017.5,7.4,8,401.1,926.6,6.1,8875,665.2,130.8,6.7
868,418.8,1017.5,7.4,8,395.1,926.6,6.1,8974,668.1,130.8,6.7
864,418.6,1017.5,7.4,7,327.6,927.1,6.2,9071,671.3,130.8,6.8
857,419.5,1017.5,7.4,6,361.6,927.5,6.4,9198,672.3,130.9,6.8
852,419.4,1017.5,7.4,6,377.1,927.5,6.4,9294,675.6,130.9,6.8
847,419.4,1017.5,7.4,6,411.5,927.5,6.4,9392,678.8,130.9,6.8
846,417.4,1017.5,7.4,6,415.4,927.5,6.4,9508,680.9,130.9,6.8
841,417.4,1017.5,7.4,6,431.5,927.5,6.4,9614,683.6,130.9,6.8
838,416.7,1017.5,7.4,6,454.7,927.3,6.1,9706,687.4,131.0,6.8
833,416.8,1017.5,7.4,7,469.7,928.0,6.2,9826,689.3,131.0,6.8
833,414.7,1017.5,7.4,7,497.3,928.1,6.0,9930,692.3,131.0,6.8
832,412.9,1017.5,7.4,7,575.7,928.1,6.0,10023,696.0,131.0,6.8
823,415.1,1017.5,7.4,8,587.9,928.8,6.1,10137,698.4,131.0,6.8
816,417.0,1017.5,7.4,7,603.5,928.3,6.0,10231,702.2,131.0,6.8
