rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue,wolfCount,wolfEnergy,wolfRepro,wolfFatigue
203,91.1,152.4,6.4,84,108.6,127.9,2.5,37,350.5,651.6,26.2
196,88.6,152.4,6.4,80,104.7,127.3,2.4,39,334.8,651.6,26.2
179,87.6,152.3,6.4,78,102.6,128.4,2.1,40,335.0,651.6,26.2
169,85.2,152.3,6.3,74,104.8,127.7,2.0,39,344.2,651.6,26.2
160,85.4,152.3,6.2,74,100.8,127.8,1.8,42,317.7,651.5,26.1
152,82.9,152.4,6.2,73,99.4,126.5,2.0,43,310.4,651.5,26.1
144,84.9,152.4,6.3,71,92.3,125.8,1.7,43,304.5,651.6,26.1
137,80.9,152.4,6.3,70,97.6,125.5,1.7,42,310.5,651.5,26.1
120,78.3,152.4,6.2,77,98.9,125.7,1.7,43,301.9,651.5,26.1
117,78.2,152.4,6.1,75,97.4,126.6,2.0,44,292.8,651.5,26.1
101,78.1,152.4,6.1,74,95.7,125.5,2.1,48,274.4,651.5,26.1
83,75.1,152.5,6.1,76,96.8,125.9,1.8,46,295.4,651.5,26.1
70,76.3,152.5,6.1,76,93.8,126.4,1.9,45,298.9,651.4,26.1
57,75.9,152.3,6.2,80,95.4,126.5,2.2,45,296.7,651.5,26.1
43,70.9,152.3,6.4,93,97.6,128.0,2.0,45,293.5,651.5,26.1
37,78.7,152.0,6.2,102,99.6,128.4,2.0,45,277.1,651.5,26.1
35,88.7,152.2,6.2,118,99.3,128.0,2.0,46,249.6,651.6,26.1
28,87.7,152.0,6.0,130,101.3,128.5,2.0,42,260.8,651.6,26.1
28,93.7,152.1,5.9,142,100.3,129.4,2.2,40,255.4,651.7,26.2
22,95.9,152.2,6.1,157,101.4,129.0,2.3,38,254.3,651.7,26.2
25,97.9,152.3,6.1,179,102.5,128.0,2.4,38,229.3,651.7,26.2
25,96.3,152.5,6.1,192,103.3,128.3,2.6,37,222.2,651.6,26.2
24,99.0,152.4,5.8,204,105.9,129.0,2.6,36,217.2,651.6,26.2
21,110.0,152.3,5.9,225,103.1,128.7,2.9,35,217.3,651.7,26.2
21,97.3,152.2,5.8,245,104.3,128.4,3.1,34,216.0,651.6,26.2
21,124.6,152.2,6.1,256,107.1,127.9,3.2,33,211.1,651.5,26.1
25,122.2,152.2,6.3,272,109.4,128.0,3.2,34,193.4,651.5,26.1
25,119.0,152.4,6.6,283,111.0,127.6,3.3,31,221.1,651.5,26.1
25,126.3,152.6,6.3,301,112.4,127.4,3.3,31,220.4,651.4,26.1
23,115.2,152.5,6.8,319,114.9,127.4,3.4,32,221.5,651.4,26.1
21,126.8,152.3,6.6,326,120.4,127.3,3.5,33,211.6,651.4,26.1
17,131.7,152.0,7.2,353,120.9,127.5,3.6,31,231.4,651.4,26.1
14,151.2,151.8,7.4,374,122.8,127.4,3.7,31,233.9,651.4,26.1
13,144.1,152.1,7.9,388,127.3,127.2,3.8,30,244.6,651.3,26.2
13,164.3,152.0,8.0,416,128.2,127.1,3.8,30,239.3,651.3,26.2
11,139.5,153.0,7.1,449,128.0,127.2,3.9,29,255.8,651.3,26.2
12,189.9,153.3,6.9,472,129.9,127.2,4.0,28,254.5,651.3,26.2
14,165.3,153.6,6.1,493,133.2,127.3,4.0,28,255.8,651.3,26.2
20,154.0,153.7,6.4,521,135.0,127.2,4.1,28,246.4,651.3,26.2
26,155.3,153.9,6.2,545,136.9,126.9,4.2,26,261.8,651.3,26.2
29,167.8,153.8,6.2,559,140.6,126.8,4.3,26,262.9,651.3,26.2
34,142.8,154.0,6.1,570,145.0,126.9,4.3,27,262.3,651.2,26.2
31,126.8,153.9,6.0,599,147.2,126.8,4.4,27,281.3,651.2,26.2
35,121.0,154.1,6.2,623,150.0,126.7,4.5,27,281.1,651.4,26.3
36,128.4,154.1,6.4,647,153.1,126.6,4.5,26,297.0,651.3,26.3
32,146.0,154.1,6.6,655,158.7,126.4,4.5,25,325.4,651.4,26.3
39,128.4,153.8,7.2,678,161.7,126.4,4.6,27,304.7,651.5,26.2
41,144.9,153.5,7.5,690,164.8,126.4,4.6,26,325.4,651.4,26.1
50,142.6,153.5,8.0,708,167.4,126.4,4.7,26,327.6,651.4,26.1
68,155.6,153.7,8.1,705,170.5,126.6,4.7,27,310.8,651.4,26.2
85,156.7,153.5,8.6,702,170.4,126.7,4.7,27,328.9,651.4,26.2
105,144.7,153.6,8.5,699,171.8,126.7,4.7,27,347.5,651.4,26.2
130,138.4,153.5,8.6,688,175.8,126.6,4.7,29,314.9,651.5,26.2
151,123.0,153.6,8.7,685,178.9,126.4,4.7,29,341.4,651.5,26.2
166,124.0,153.6,8.8,677,182.6,126.3,4.8,31,332.9,651.5,26.3
183,116.6,153.6,8.9,675,186.2,126.2,4.8,32,337.2,651.5,26.3
191,118.0,153.8,9.0,661,190.6,126.5,4.8,33,351.3,651.5,26.3
205,115.7,154.0,9.1,657,192.7,126.4,4.8,34,357.5,651.5,26.3
217,111.3,154.3,9.1,652,196.1,126.6,4.8,36,344.4,651.5,26.3
227,109.2,154.5,9.0,640,200.9,126.8,4.8,37,333.0,651.4,26.3
224,103.3,154.8,9.0,650,202.5,126.7,4.8,38,350.4,651.5,26.4
235,102.8,154.9,9.0,634,208.6,126.8,4.8,39,342.8,651.4,26.4
239,100.5,155.1,9.1,630,210.7,126.8,4.8,40,338.1,651.6,26.4
240,96.5,155.4,9.1,627,215.5,126.8,4.8,40,345.4,651.5,26.3
239,98.2,155.6,9.2,620,218.2,126.8,4.9,39,358.2,651.5,26.4
248,97.5,155.6,9.2,611,219.9,126.7,4.9,42,335.3,651.5,26.3
247,98.0,155.8,9.2,598,224.8,126.9,4.9,40,359.5,651.4,26.3
232,106.5,156.0,9.2,593,225.7,127.0,4.9,40,369.9,651.4,26.3
230,103.9,156.0,9.3,593,225.2,127.2,4.9,41,370.1,651.4,26.3
232,105.8,156.2,9.2,586,226.3,127.1,4.9,44,349.6,651.2,26.3
223,109.9,156.4,9.0,577,225.7,127.1,4.9,45,362.9,651.2,26.3
223,119.4,156.4,8.9,564,224.3,126.9,4.9,47,344.6,651.2,26.3
221,121.6,156.4,8.7,568,216.8,126.6,4.9,47,364.5,651.2,26.3
228,128.3,156.3,8.6,540,219.0,126.3,4.9,53,319.2,651.3,26.3
237,127.0,156.1,8.3,516,221.1,126.3,4.9,53,331.0,651.3,26.3
263,125.8,156.2,8.2,484,221.2,126.2,4.9,54,325.3,651.3,26.3
